installed_name,installed_version,installed_path,installed_dev,installed_optional
@babel/plugin-transform-classes,7.25.9,node_modules/@babel/plugin-transform-classes,True,False
@babel/plugin-transform-computed-properties,7.25.9,node_modules/@babel/plugin-transform-computed-properties,True,False
@babel/plugin-transform-destructuring,7.25.9,node_modules/@babel/plugin-transform-destructuring,True,False
@babel/plugin-transform-dotall-regex,7.25.9,node_modules/@babel/plugin-transform-dotall-regex,True,False
@babel/plugin-transform-duplicate-keys,7.25.9,node_modules/@babel/plugin-transform-duplicate-keys,True,False
@babel/plugin-transform-duplicate-named-capturing-groups-regex,7.25.9,node_modules/@babel/plugin-transform-duplicate-named-capturing-groups-regex,True,False
@babel/plugin-transform-dynamic-import,7.25.9,node_modules/@babel/plugin-transform-dynamic-import,True,False
@babel/plugin-transform-exponentiation-operator,7.26.3,node_modules/@babel/plugin-transform-exponentiation-operator,True,False
@babel/plugin-transform-export-namespace-from,7.25.9,node_modules/@babel/plugin-transform-export-namespace-from,True,False
@babel/plugin-transform-for-of,7.25.9,node_modules/@babel/plugin-transform-for-of,True,False
@babel/plugin-transform-function-name,7.25.9,node_modules/@babel/plugin-transform-function-name,True,False
@babel/plugin-transform-json-strings,7.25.9,node_modules/@babel/plugin-transform-json-strings,True,False
@babel/plugin-transform-literals,7.25.9,node_modules/@babel/plugin-transform-literals,True,False
@babel/plugin-transform-logical-assignment-operators,7.25.9,node_modules/@babel/plugin-transform-logical-assignment-operators,True,False
@babel/plugin-transform-member-expression-literals,7.25.9,node_modules/@babel/plugin-transform-member-expression-literals,True,False
@babel/plugin-transform-modules-amd,7.25.9,node_modules/@babel/plugin-transform-modules-amd,True,False
@babel/plugin-transform-modules-commonjs,7.26.3,node_modules/@babel/plugin-transform-modules-commonjs,True,False
@babel/plugin-transform-modules-systemjs,7.25.9,node_modules/@babel/plugin-transform-modules-systemjs,True,False
@babel/plugin-transform-modules-umd,7.25.9,node_modules/@babel/plugin-transform-modules-umd,True,False
@babel/plugin-transform-named-capturing-groups-regex,7.25.9,node_modules/@babel/plugin-transform-named-capturing-groups-regex,True,False
@babel/plugin-transform-new-target,7.25.9,node_modules/@babel/plugin-transform-new-target,True,False
@babel/plugin-transform-nullish-coalescing-operator,7.25.9,node_modules/@babel/plugin-transform-nullish-coalescing-operator,True,False
@babel/plugin-transform-numeric-separator,7.25.9,node_modules/@babel/plugin-transform-numeric-separator,True,False
@babel/plugin-transform-object-rest-spread,7.25.9,node_modules/@babel/plugin-transform-object-rest-spread,True,False
@babel/plugin-transform-object-super,7.25.9,node_modules/@babel/plugin-transform-object-super,True,False
@babel/plugin-transform-optional-catch-binding,7.25.9,node_modules/@babel/plugin-transform-optional-catch-binding,True,False
@babel/plugin-transform-optional-chaining,7.25.9,node_modules/@babel/plugin-transform-optional-chaining,True,False
@babel/plugin-transform-parameters,7.25.9,node_modules/@babel/plugin-transform-parameters,True,False
@babel/plugin-transform-private-methods,7.25.9,node_modules/@babel/plugin-transform-private-methods,True,False
@babel/plugin-transform-private-property-in-object,7.25.9,node_modules/@babel/plugin-transform-private-property-in-object,True,False
@babel/plugin-transform-property-literals,7.25.9,node_modules/@babel/plugin-transform-property-literals,True,False
@babel/plugin-transform-regenerator,7.25.9,node_modules/@babel/plugin-transform-regenerator,True,False
@babel/plugin-transform-regexp-modifiers,7.26.0,node_modules/@babel/plugin-transform-regexp-modifiers,True,False
@babel/plugin-transform-reserved-words,7.25.9,node_modules/@babel/plugin-transform-reserved-words,True,False
@babel/plugin-transform-runtime,7.25.9,node_modules/@babel/plugin-transform-runtime,True,False
@babel/plugin-transform-shorthand-properties,7.25.9,node_modules/@babel/plugin-transform-shorthand-properties,True,False
@babel/plugin-transform-spread,7.25.9,node_modules/@babel/plugin-transform-spread,True,False
@babel/plugin-transform-sticky-regex,7.25.9,node_modules/@babel/plugin-transform-sticky-regex,True,False
@babel/plugin-transform-template-literals,7.25.9,node_modules/@babel/plugin-transform-template-literals,True,False
@babel/plugin-transform-typeof-symbol,7.25.9,node_modules/@babel/plugin-transform-typeof-symbol,True,False
@babel/plugin-transform-unicode-escapes,7.25.9,node_modules/@babel/plugin-transform-unicode-escapes,True,False
@babel/plugin-transform-unicode-property-regex,7.25.9,node_modules/@babel/plugin-transform-unicode-property-regex,True,False
@babel/plugin-transform-unicode-regex,7.25.9,node_modules/@babel/plugin-transform-unicode-regex,True,False
@babel/plugin-transform-unicode-sets-regex,7.25.9,node_modules/@babel/plugin-transform-unicode-sets-regex,True,False
@babel/preset-env,7.26.0,node_modules/@babel/preset-env,True,False
@babel/preset-modules,0.1.6-no-external-plugins,node_modules/@babel/preset-modules,True,False
@babel/runtime,7.26.0,node_modules/@babel/runtime,True,False
@babel/template,7.25.9,node_modules/@babel/template,True,False
@babel/traverse,7.26.4,node_modules/@babel/traverse,True,False
@babel/types,7.26.3,node_modules/@babel/types,True,False
@colors/colors,1.5.0,node_modules/@colors/colors,True,False
@discoveryjs/json-ext,0.6.3,node_modules/@discoveryjs/json-ext,True,False
@esbuild/aix-ppc64,0.24.0,node_modules/@esbuild/aix-ppc64,True,True
@esbuild/aix-ppc64,0.21.5,node_modules/vite/node_modules/@esbuild/aix-ppc64,True,True
@esbuild/android-arm,0.24.0,node_modules/@esbuild/android-arm,True,True
@esbuild/android-arm,0.21.5,node_modules/vite/node_modules/@esbuild/android-arm,True,True
@esbuild/android-arm64,0.24.0,node_modules/@esbuild/android-arm64,True,True
@esbuild/android-arm64,0.21.5,node_modules/vite/node_modules/@esbuild/android-arm64,True,True
@esbuild/android-x64,0.24.0,node_modules/@esbuild/android-x64,True,True
@esbuild/android-x64,0.21.5,node_modules/vite/node_modules/@esbuild/android-x64,True,True
@esbuild/darwin-arm64,0.24.0,node_modules/@esbuild/darwin-arm64,True,True
@esbuild/darwin-arm64,0.21.5,node_modules/vite/node_modules/@esbuild/darwin-arm64,True,True
@esbuild/darwin-x64,0.24.0,node_modules/@esbuild/darwin-x64,True,True
@esbuild/darwin-x64,0.21.5,node_modules/vite/node_modules/@esbuild/darwin-x64,True,True
@esbuild/freebsd-arm64,0.24.0,node_modules/@esbuild/freebsd-arm64,True,True
@esbuild/freebsd-arm64,0.21.5,node_modules/vite/node_modules/@esbuild/freebsd-arm64,True,True
@esbuild/freebsd-x64,0.24.0,node_modules/@esbuild/freebsd-x64,True,True
@esbuild/freebsd-x64,0.21.5,node_modules/vite/node_modules/@esbuild/freebsd-x64,True,True
@esbuild/linux-arm,0.24.0,node_modules/@esbuild/linux-arm,True,True
